hits	conc_ratio	thr
559	0.6350626118067979	0.01718
558	0.6344086021505376	0.01721
557	0.6337522441651705	0.0173
556	0.6330935251798561	0.01744
555	0.6342342342342342	0.01763
554	0.6335740072202166	0.01768
553	0.6347197106690777	0.0177
552	0.6340579710144928	0.01791
551	0.6333938294010889	0.01797
550	0.6345454545454545	0.01807
549	0.6338797814207651	0.01809
548	0.6332116788321168	0.01824
547	0.6325411334552102	0.01828
546	0.6336996336996337	0.01846
545	0.634862385321101	0.01863
544	0.6360294117647058	0.01866
543	0.6372007366482505	0.01869
542	0.6383763837638377	0.01878
541	0.6395563770794824	0.0188
540	0.6407407407407407	0.01913
538	0.6394052044609665	0.01929
538	0.6394052044609665	0.01929
537	0.6405959031657356	0.01945
536	0.6417910447761194	0.01979
534	0.6423220973782772	0.01988
534	0.6423220973782772	0.01988
533	0.6416510318949343	0.02011
532	0.6409774436090225	0.0203
531	0.64030131826742	0.02044
530	0.6396226415094339	0.02075
529	0.6408317580340265	0.02089
528	0.6420454545454546	0.02101
527	0.6432637571157496	0.02103
526	0.6444866920152091	0.02109
525	0.6438095238095238	0.02136
524	0.6450381679389313	0.02157
523	0.6462715105162524	0.0217
522	0.6475095785440613	0.0219
521	0.6468330134357005	0.02192
520	0.6461538461538462	0.02195
519	0.6473988439306358	0.02204
518	0.6467181467181468	0.02229
517	0.6460348162475822	0.02231
516	0.6453488372093024	0.02243
515	0.6466019417475728	0.02252
514	0.6478599221789884	0.02262
513	0.6471734892787524	0.02266
512	0.6484375	0.02286
511	0.649706457925636	0.0229
510	0.6509803921568628	0.02303
509	0.6522593320235757	0.02349
508	0.6515748031496063	0.02352
507	0.6528599605522682	0.02385
506	0.6541501976284585	0.02386
505	0.6554455445544555	0.02412
504	0.6567460317460317	0.02418
503	0.6560636182902585	0.02461
502	0.6553784860557769	0.02498
500	0.656	0.02503
500	0.656	0.02503
499	0.657314629258517	0.02527
498	0.6586345381526104	0.02535
497	0.6579476861167002	0.02553
496	0.6592741935483871	0.02567
495	0.6585858585858586	0.02568
494	0.659919028340081	0.02584
493	0.6592292089249493	0.02589
492	0.6585365853658537	0.0259
491	0.6578411405295316	0.02598
490	0.6571428571428571	0.02599
489	0.656441717791411	0.02612
488	0.6557377049180327	0.02614
486	0.6563786008230452	0.02631
486	0.6563786008230452	0.02631
485	0.6577319587628866	0.02651
484	0.6570247933884298	0.02689
483	0.6563146997929606	0.02693
482	0.6556016597510373	0.02695
481	0.6548856548856549	0.02704
480	0.65625	0.02705
479	0.6576200417536534	0.02717
478	0.6569037656903766	0.02728
477	0.6561844863731656	0.0275
476	0.6554621848739496	0.02808
475	0.6568421052631579	0.02841
474	0.6582278481012658	0.02869
473	0.6596194503171248	0.02872
471	0.6602972399150743	0.02899
471	0.6602972399150743	0.02899
470	0.6595744680851063	0.02917
469	0.6609808102345416	0.02947
468	0.6602564102564102	0.02951
467	0.6616702355460385	0.02971
466	0.6609442060085837	0.02972
465	0.6623655913978495	0.03008
464	0.6637931034482759	0.03101
463	0.6652267818574514	0.03103
462	0.6666666666666666	0.0312
461	0.665943600867679	0.03126
460	0.6652173913043479	0.03139
459	0.6666666666666666	0.03158
458	0.665938864628821	0.03179
457	0.6652078774617067	0.0318
456	0.6644736842105263	0.03193
455	0.6637362637362637	0.03227
454	0.6629955947136564	0.03292
453	0.6644591611479028	0.033
452	0.6637168141592921	0.03371
451	0.6651884700665188	0.03383
450	0.6644444444444444	0.03402
449	0.6636971046770601	0.03451
448	0.6629464285714286	0.03472
447	0.6621923937360179	0.03504
446	0.6614349775784754	0.03527
445	0.6629213483146067	0.0355
444	0.6621621621621622	0.03575
442	0.6628959276018099	0.03583
442	0.6628959276018099	0.03583
441	0.6621315192743764	0.03599
440	0.6613636363636364	0.03616
439	0.662870159453303	0.03684
438	0.6643835616438356	0.03701
437	0.6636155606407322	0.03708
436	0.6628440366972477	0.03752
435	0.6620689655172414	0.03769
434	0.663594470046083	0.03788
433	0.6628175519630485	0.03822
432	0.6643518518518519	0.0383
431	0.665893271461717	0.0385
430	0.6651162790697674	0.03866
429	0.6643356643356644	0.03913
428	0.6658878504672897	0.03963
427	0.6651053864168618	0.0397
426	0.6643192488262911	0.03976
425	0.6658823529411765	0.03978
424	0.6650943396226415	0.04009
423	0.6643026004728132	0.04023
422	0.6658767772511849	0.04043
421	0.665083135391924	0.04085
420	0.6666666666666666	0.04091
419	0.665871121718377	0.04097
418	0.6674641148325359	0.04105
417	0.6666666666666666	0.04123
416	0.6682692307692307	0.0413
415	0.6674698795180722	0.04149
414	0.6690821256038647	0.04161
413	0.6682808716707022	0.04378
412	0.6699029126213593	0.0439
411	0.6715328467153284	0.04412
410	0.6707317073170732	0.04462
409	0.6723716381418093	0.04467
408	0.6715686274509803	0.04486
407	0.6732186732186732	0.04502
406	0.6724137931034483	0.04514
405	0.674074074074074	0.04522
404	0.6732673267326733	0.04544
403	0.6724565756823822	0.0463
402	0.6741293532338308	0.04636
401	0.6758104738154613	0.04646
400	0.6775	0.04663
399	0.6766917293233082	0.04667
398	0.6758793969849246	0.0474
397	0.6750629722921915	0.04805
396	0.6742424242424242	0.04809
395	0.6734177215189874	0.0482
394	0.6751269035532995	0.04938
393	0.6743002544529262	0.04958
392	0.6760204081632653	0.04983
391	0.6777493606138107	0.04989
390	0.6794871794871795	0.05001
389	0.6786632390745502	0.05046
388	0.6778350515463918	0.05054
387	0.6770025839793282	0.05083
386	0.6787564766839378	0.05162
385	0.6779220779220779	0.05163
384	0.6770833333333334	0.05204
383	0.6762402088772846	0.05244
382	0.675392670157068	0.05297
381	0.6745406824146981	0.05299
380	0.6736842105263158	0.053
379	0.6754617414248021	0.05302
378	0.6746031746031746	0.05304
377	0.6737400530503979	0.05376
376	0.6728723404255319	0.05397
375	0.6746666666666666	0.05438
374	0.6737967914438503	0.0553
373	0.6729222520107239	0.05544
372	0.6720430107526881	0.05553
371	0.6738544474393531	0.0556
370	0.6756756756756757	0.05617
369	0.6747967479674797	0.05648
368	0.6766304347826086	0.05689
367	0.6757493188010899	0.0573
366	0.6775956284153005	0.05788
365	0.6794520547945205	0.05846
364	0.6785714285714286	0.05855
363	0.6776859504132231	0.05865
362	0.6767955801104972	0.05892
361	0.6786703601108033	0.0594
360	0.6805555555555556	0.05942
359	0.6796657381615598	0.06011
358	0.6815642458100558	0.06118
357	0.6834733893557423	0.06218
356	0.6825842696629213	0.06243
355	0.6816901408450704	0.06382
354	0.6807909604519774	0.06395
353	0.6798866855524079	0.0646
352	0.6789772727272727	0.06478
351	0.6780626780626781	0.06599
350	0.6771428571428572	0.06603
349	0.6790830945558739	0.06638
348	0.6810344827586207	0.06684
347	0.6829971181556196	0.06715
346	0.6820809248554913	0.06745
345	0.6840579710144927	0.06753
344	0.686046511627907	0.06891
343	0.6880466472303207	0.07009
342	0.6900584795321637	0.07016
341	0.6891495601173021	0.07053
340	0.6882352941176471	0.07099
339	0.6902654867256637	0.07179
338	0.6893491124260355	0.07367
337	0.6884272997032641	0.0737
336	0.6875	0.07569
335	0.6865671641791045	0.0763
334	0.688622754491018	0.07631
333	0.6876876876876877	0.07634
332	0.6867469879518072	0.0766
331	0.6888217522658611	0.07689
330	0.6909090909090909	0.07758
329	0.6899696048632219	0.07886
328	0.6890243902439024	0.07936
327	0.691131498470948	0.07963
326	0.6901840490797546	0.08017
325	0.6923076923076923	0.0803
324	0.6944444444444444	0.08062
323	0.6934984520123839	0.08069
322	0.6925465838509317	0.08095
321	0.6915887850467289	0.08201
320	0.690625	0.08252
319	0.6927899686520376	0.08287
318	0.6949685534591195	0.08475
317	0.6971608832807571	0.08511
316	0.6962025316455697	0.08577
315	0.6984126984126984	0.08623
314	0.697452229299363	0.08624
313	0.6996805111821086	0.08703
312	0.7019230769230769	0.08754
311	0.7041800643086816	0.08791
310	0.7032258064516129	0.08859
309	0.7022653721682848	0.08861
308	0.7045454545454546	0.08917
307	0.7035830618892508	0.08946
306	0.7026143790849673	0.09131
305	0.7049180327868853	0.09259
304	0.7039473684210527	0.09391
303	0.7029702970297029	0.09471
302	0.7019867549668874	0.09486
301	0.7009966777408638	0.09577
300	0.7033333333333334	0.09638
299	0.705685618729097	0.09657
298	0.7080536912751678	0.09716
297	0.7070707070707071	0.09721
296	0.706081081081081	0.09829
295	0.7050847457627119	0.10222
294	0.7040816326530612	0.10414
293	0.7064846416382252	0.10452
292	0.7054794520547946	0.10504
291	0.7079037800687286	0.10512
290	0.7103448275862069	0.10525
289	0.7093425605536332	0.10532
288	0.7083333333333334	0.10659
287	0.7073170731707317	0.1077
286	0.7062937062937062	0.10898
284	0.7112676056338029	0.11001
284	0.7112676056338029	0.11001
283	0.7102473498233216	0.11008
282	0.7127659574468085	0.1104
281	0.7153024911032029	0.11055
280	0.7142857142857143	0.111
279	0.7168458781362007	0.11211
278	0.7194244604316546	0.11446
277	0.7184115523465704	0.11497
276	0.717391304347826	0.11606
275	0.7163636363636363	0.11634
274	0.718978102189781	0.11643
273	0.717948717948718	0.11652
272	0.7169117647058824	0.11702
271	0.7158671586715867	0.11748
270	0.7148148148148148	0.1182
269	0.7137546468401487	0.11822
268	0.7164179104477612	0.11874
267	0.7153558052434457	0.119
266	0.7180451127819549	0.12005
265	0.720754716981132	0.12017
264	0.7234848484848485	0.12034
263	0.7224334600760456	0.12109
262	0.7213740458015268	0.12174
261	0.7203065134099617	0.12177
260	0.7192307692307692	0.12193
259	0.7181467181467182	0.12511
258	0.7170542635658915	0.1252
257	0.7198443579766537	0.12651
256	0.71875	0.12693
255	0.7215686274509804	0.12735
254	0.7244094488188977	0.12791
253	0.7272727272727273	0.12988
252	0.7261904761904762	0.13062
251	0.7250996015936255	0.13348
250	0.728	0.13384
249	0.7269076305220884	0.13458
248	0.7258064516129032	0.13525
247	0.728744939271255	0.136
246	0.7317073170731707	0.13967
245	0.7306122448979592	0.13969
244	0.7295081967213115	0.14016
243	0.7325102880658436	0.1467
242	0.731404958677686	0.14858
241	0.7302904564315352	0.15139
240	0.7291666666666666	0.15303
239	0.7280334728033473	0.15379
238	0.726890756302521	0.15441
237	0.729957805907173	0.1561
236	0.7288135593220338	0.15689
235	0.7276595744680852	0.15806
234	0.7264957264957265	0.1588
233	0.7253218884120172	0.16236
232	0.728448275862069	0.16433
231	0.7272727272727273	0.16586
230	0.7260869565217392	0.16682
229	0.7248908296943232	0.16802
228	0.7236842105263158	0.16834
227	0.7268722466960352	0.16918
226	0.7256637168141593	0.17105
225	0.7288888888888889	0.17493
224	0.7276785714285714	0.17522
223	0.7309417040358744	0.17665
221	0.7375565610859729	0.17802
221	0.7375565610859729	0.17802
220	0.7363636363636363	0.17909
219	0.7397260273972602	0.17944
218	0.7385321100917431	0.18437
217	0.7419354838709677	0.18506
216	0.7407407407407407	0.18619
215	0.7441860465116279	0.18644
214	0.7429906542056075	0.18861
213	0.7417840375586855	0.1887
212	0.7405660377358491	0.19113
211	0.7393364928909952	0.19844
210	0.7428571428571429	0.19995
209	0.7416267942583732	0.2043
208	0.7451923076923077	0.20768
207	0.7439613526570048	0.20795
206	0.7427184466019418	0.20825
205	0.7414634146341463	0.20947
204	0.7401960784313726	0.21162
203	0.7389162561576355	0.21467
202	0.7425742574257426	0.21693
201	0.7412935323383084	0.22038
200	0.74	0.23358
199	0.7386934673366834	0.23591
198	0.7373737373737373	0.23758
197	0.7360406091370558	0.23854
196	0.7346938775510204	0.24118
195	0.7333333333333333	0.24275
194	0.7319587628865979	0.24664
193	0.7357512953367875	0.24958
192	0.734375	0.25355
191	0.7329842931937173	0.2537
190	0.7315789473684211	0.25786
189	0.7301587301587301	0.26048
188	0.7340425531914894	0.2615
187	0.732620320855615	0.26156
186	0.7311827956989247	0.27003
185	0.7297297297297297	0.27183
184	0.7282608695652174	0.27395
183	0.726775956284153	0.27412
182	0.7252747252747253	0.28699
181	0.7292817679558011	0.29406
180	0.7277777777777777	0.29675
179	0.7262569832402235	0.29881
178	0.7247191011235955	0.29964
177	0.7231638418079096	0.31335
176	0.7215909090909091	0.31393
175	0.72	0.31554
174	0.7241379310344828	0.31882
173	0.7225433526011561	0.3193
171	0.7192982456140351	0.3197
171	0.7192982456140351	0.3197
170	0.7235294117647059	0.32198
169	0.7218934911242604	0.32317
168	0.7202380952380952	0.32565
167	0.718562874251497	0.32749
166	0.7168674698795181	0.32835
165	0.7212121212121212	0.32842
164	0.7195121951219512	0.33247
163	0.7239263803680982	0.33682
162	0.7222222222222222	0.3388
161	0.7204968944099379	0.34096
160	0.71875	0.34155
159	0.7232704402515723	0.34366
158	0.7215189873417721	0.34448
157	0.7197452229299363	0.34695
156	0.717948717948718	0.35044
155	0.7161290322580646	0.35165
154	0.7207792207792207	0.35219
153	0.7189542483660131	0.3569
152	0.7236842105263158	0.36849
151	0.7284768211920529	0.37028
150	0.7333333333333333	0.37331
149	0.7315436241610739	0.37408
148	0.7297297297297297	0.38011
147	0.7278911564625851	0.38033
146	0.726027397260274	0.38946
145	0.7241379310344828	0.39095
144	0.7291666666666666	0.39161
143	0.7272727272727273	0.39535
142	0.7253521126760564	0.39655
141	0.7304964539007093	0.39976
140	0.7357142857142858	0.40758
139	0.7338129496402878	0.41122
138	0.7391304347826086	0.41208
137	0.7372262773722628	0.41363
136	0.7352941176470589	0.41927
135	0.7333333333333333	0.42013
134	0.7388059701492538	0.43589
133	0.7368421052631579	0.44084
132	0.7424242424242424	0.45275
131	0.7480916030534351	0.45352
130	0.7538461538461538	0.45525
129	0.7596899224806202	0.46021
128	0.765625	0.46643
127	0.7637795275590551	0.47022
126	0.7619047619047619	0.47046
125	0.76	0.48482
124	0.7580645161290323	0.48829
123	0.7560975609756098	0.48872
122	0.7622950819672131	0.48931
121	0.768595041322314	0.49061
120	0.775	0.49081
119	0.773109243697479	0.49447
118	0.7796610169491526	0.50118
117	0.7863247863247863	0.50619
116	0.7844827586206896	0.50715
115	0.7913043478260869	0.51291
114	0.7982456140350878	0.52843
113	0.7964601769911505	0.53591
112	0.7946428571428571	0.53817
111	0.8018018018018018	0.54564
110	0.8	0.54777
109	0.8073394495412844	0.55178
108	0.8055555555555556	0.55553
107	0.8037383177570093	0.56032
106	0.8113207547169812	0.56615
105	0.8095238095238095	0.58173
104	0.8173076923076923	0.58587
103	0.8155339805825242	0.59235
102	0.8137254901960784	0.59527
101	0.8118811881188119	0.59722
100	0.81	0.60203
99	0.8181818181818182	0.6045
98	0.8163265306122449	0.60812
97	0.8144329896907216	0.61241
96	0.8229166666666666	0.63357
95	0.8210526315789474	0.63707
94	0.8191489361702128	0.63771
93	0.8172043010752689	0.63774
92	0.8152173913043478	0.63955
91	0.8131868131868132	0.64044
90	0.8111111111111111	0.64265
89	0.8202247191011236	0.64771
88	0.8181818181818182	0.65633
87	0.8160919540229885	0.68093
86	0.8255813953488372	0.6856
85	0.8235294117647058	0.69228
84	0.8214285714285714	0.69532
83	0.8313253012048193	0.69771
82	0.8292682926829268	0.70142
81	0.8395061728395061	0.70816
80	0.8375	0.71447
79	0.8354430379746836	0.71942
78	0.8333333333333334	0.72573
77	0.8441558441558441	0.72635
76	0.8552631578947368	0.72708
75	0.8533333333333334	0.72787
74	0.8513513513513513	0.73235
73	0.8493150684931506	0.73257
72	0.8472222222222222	0.75262
71	0.8591549295774648	0.76267
70	0.8714285714285714	0.76405
69	0.8695652173913043	0.77479
68	0.8676470588235294	0.78024
67	0.8805970149253731	0.78272
66	0.8787878787878788	0.78321
65	0.8769230769230769	0.79612
64	0.890625	0.79703
63	0.8888888888888888	0.79816
62	0.8870967741935484	0.81043
61	0.9016393442622951	0.81873
60	0.9	0.8234
59	0.8983050847457628	0.82822
58	0.896551724137931	0.83115
57	0.8947368421052632	0.84835
56	0.8928571428571429	0.85224
55	0.8909090909090909	0.86328
54	0.8888888888888888	0.8671
53	0.8867924528301887	0.86896
52	0.8846153846153846	0.88753
51	0.8823529411764706	0.88916
50	0.88	0.89382
49	0.8775510204081632	0.89528
48	0.875	0.89751
47	0.8723404255319149	0.89856
46	0.8695652173913043	0.90188
45	0.8666666666666667	0.907
44	0.8636363636363636	0.9091
43	0.8604651162790697	0.90937
42	0.8571428571428571	0.91802
41	0.8536585365853658	0.92408
40	0.85	0.925
39	0.8461538461538461	0.92835
38	0.8421052631578947	0.92985
37	0.8378378378378378	0.93038
36	0.8333333333333334	0.93427
35	0.8285714285714286	0.9373
34	0.8235294117647058	0.94792
33	0.8484848484848485	0.9503
32	0.84375	0.95033
31	0.8387096774193549	0.95183
30	0.8333333333333334	0.95192
29	0.8275862068965517	0.95202
28	0.8214285714285714	0.95458
27	0.8148148148148148	0.95774
26	0.8076923076923077	0.95913
25	0.8	0.96027
24	0.7916666666666666	0.96432
23	0.782608695652174	0.96654
22	0.7727272727272727	0.96975
21	0.7619047619047619	0.96999
20	0.75	0.97043
19	0.7894736842105263	0.97214
18	0.7777777777777778	0.9729
17	0.7647058823529411	0.97518
16	0.75	0.97523
15	0.7333333333333333	0.9764
14	0.7857142857142857	0.97746
13	0.7692307692307693	0.97866
12	0.75	0.97884
11	0.7272727272727273	0.97937
10	0.8	0.97974
9	0.8888888888888888	0.98026
8	0.875	0.98173
7	1.0	0.98295
6	1.0	0.98376
5	1.0	0.98534
4	1.0	0.9873
3	1.0	0.98739
2	1.0	0.98824
1	1.0	0.9934
